z,t,h
10,1,-7.15
10,2,-5.95
10,4,-4.85
10,10,-3.95
10,32,-3.05
9.5,1,-8.85
9.5,2,-6.8
9.5,4,-5.05
9.5,10,-3.95
9.5,32,-3.05
9,1,-8.95
9,2,-8.1
9,4,-5.4
9,10,-3.95
9,32,-3.05
8.5,1,-8.5
8.5,2,-8.4
8.5,4,-5.85
8.5,10,-3.96
8.5,32,-3.05
8,1,-8
8,2,-8
8,4,-6.55
8,10,-3.97
8,32,-3.05
7.5,1,-7.5
7.5,2,-7.5
7.5,4,-7.05
7.5,10,-3.98
7.5,32,-3.05
7,1,-7
7,2,-7
7,4,-6.85
7,10,-3.99
7,32,-3.05
6.5,1,-6.5
6.5,2,-6.5
6.5,4,-6.5
6.5,10,-4
6.5,32,-3.05
6,1,-6
6,2,-6
6,4,-6
6,10,-4.01
6,32,-3.05
5.5,1,-5.5
5.5,2,-5.5
5.5,4,-5.5
5.5,10,-4
5.5,32,-3.05
5,1,-5
5,2,-5
5,4,-5
5,10,-3.9
5,32,-3
4.5,1,-4.5
4.5,2,-4.5
4.5,4,-4.5
4.5,10,-3.75
4.5,32,-2.95
4,1,-4
4,2,-4
4,4,-4
4,10,-3.5
4,32,-2.85
3.5,1,-3.5
3.5,2,-3.5
3.5,4,-3.5
3.5,10,-3.2
3.5,32,-2.65
3,1,-3
3,2,-3
3,4,-3
3,10,-2.8
3,32,-2.4
2.5,1,-2.5
2.5,2,-2.5
2.5,4,-2.5
2.5,10,-2.35
2.5,32,-2.08
2,1,-2
2,2,-2
2,4,-2
2,10,-1.9
2,32,-1.75
1.5,1,-1.5
1.5,2,-1.5
1.5,4,-1.5
1.5,10,-1.45
1.5,32,-1.33
1,1,-1
1,2,-1
1,4,-1
1,10,-1
1,32,-0.9
0.5,1,-0.5
0.5,2,-0.5
0.5,4,-0.5
0.5,10,-0.5
0.5,32,-0.45
0,1,0
0,2,0
0,4,0
0,10,0
0,32,0
